"heuristic","graph","size","runtime","memusg"
"KATAYAMA2001","ER.txt",1000,1.590709,2336
"LU2010","ER.txt",1000,1.590709,2164
"PARDALOS2008","ER.txt",1000,1.590709,9452
"GLOVER2010","ER.txt",1000,1.590709,2364
"LAGUNA2009CE","ER.txt",1000,1.590709,3188
"LAGUNA2009HCE","ER.txt",1000,1.590709,2220
"BEASLEY1998SA","ER.txt",1000,1.590709,2100
"BEASLEY1998TS","ER.txt",1000,1.590709,2296
"MERZ2002GREEDY","ER.txt",1000,1.590709,2084
"MERZ2002ONEOPT","ER.txt",1000,1.590709,2084
"MERZ2002KOPT","ER.txt",1000,1.590709,2060
"MERZ2002GREEDYKOPT","ER.txt",1000,1.590709,2092
"KATAYAMA2000","ER.txt",1000,1.590709,2152
"MERZ2004","ER.txt",1000,1.590709,3720
"ALKHAMIS1998","ER.txt",1000,1.590709,2536
"HASAN2000GA","ER.txt",1000,1.590709,3452
"HASAN2000TS","ER.txt",1000,1.590709,2080
"LODI1999","ER.txt",1000,1.590709,3736
"GLOVER1998a","ER.txt",1000,1.590709,2316
"BURER2002","complete.txt",3000,793.941107,297828
"FESTA2002G","complete.txt",3000,793.941107,335996
"FESTA2002GPR","complete.txt",3000,793.941107,339284
"FESTA2002VNS","complete.txt",3000,793.941107,298508
"FESTA2002VNSPR","complete.txt",3000,793.941107,298336
"FESTA2002GVNS","complete.txt",3000,793.941107,336240
"FESTA2002GVNSPR","complete.txt",3000,793.941107,337380
"DUARTE2005","complete.txt",3000,793.941107,297772
"PALUBECKIS2004bMST1","complete.txt",3000,793.941107,541700
"PALUBECKIS2004bMST2","complete.txt",3000,793.941107,540612
"PALUBECKIS2004bMST3","complete.txt",3000,793.941107,542012
"PALUBECKIS2004bMST4","complete.txt",3000,793.941107,543288
"PALUBECKIS2004bMST5","complete.txt",3000,793.941107,954188
"PALUBECKIS2004bSTS","complete.txt",3000,793.941107,539464
"MERZ1999GLS","complete.txt",3000,793.941107,541524
"MERZ1999MUTATE","complete.txt",3000,793.941107,546068
"MERZ1999CROSS","complete.txt",3000,793.941107,541024
"PALUBECKIS2006","complete.txt",3000,793.941107,540100
"KATAYAMA2001","complete.txt",3000,793.941107,542140
"LU2010","complete.txt",3000,793.941107,540316
"PARDALOS2008","complete.txt",3000,793.941107,610140
"GLOVER2010","complete.txt",3000,793.941107,541200
"LAGUNA2009CE","complete.txt",3000,793.941107,298132
"LAGUNA2009HCE","complete.txt",3000,793.941107,298084
"BEASLEY1998SA","complete.txt",3000,793.941107,542824
"BEASLEY1998TS","complete.txt",3000,793.941107,542156
"MERZ2002GREEDY","complete.txt",3000,793.941107,541732
"MERZ2002ONEOPT","complete.txt",3000,793.941107,540180
"MERZ2002KOPT","complete.txt",3000,793.941107,541180
"MERZ2002GREEDYKOPT","complete.txt",3000,793.941107,542492
"KATAYAMA2000","complete.txt",3000,793.941107,542916
"MERZ2004","complete.txt",3000,793.941107,539348
"ALKHAMIS1998","complete.txt",3000,793.941107,541008
"HASAN2000GA","complete.txt",3000,793.941107,540660
"HASAN2000TS","complete.txt",3000,793.941107,541912
"LODI1999","complete.txt",3000,793.941107,539768
"GLOVER1998a","complete.txt",3000,793.941107,540776
"BURER2002","ER.txt",3000,13.614977,2672
"FESTA2002G","ER.txt",3000,13.614977,2568
"FESTA2002GPR","ER.txt",3000,13.614977,4176
"FESTA2002VNS","ER.txt",3000,13.614977,2400
"FESTA2002VNSPR","ER.txt",3000,13.614977,3912
"FESTA2002GVNS","ER.txt",3000,13.614977,2536
"FESTA2002GVNSPR","ER.txt",3000,13.614977,4136
"DUARTE2005","ER.txt",3000,13.614977,6548
"PALUBECKIS2004bMST1","ER.txt",3000,13.614977,3452
"PALUBECKIS2004bMST2","ER.txt",3000,13.614977,3560
"PALUBECKIS2004bMST3","ER.txt",3000,13.614977,3104
"PALUBECKIS2004bMST4","ER.txt",3000,13.614977,8732
"PALUBECKIS2004bMST5","ER.txt",3000,13.614977,4668
"PALUBECKIS2004bSTS","ER.txt",3000,13.614977,3188
